fid,radio_type,lon,lat
536,UMTS,30.09223938,-1.945266724
537,UMTS,30.087204,-1.971359
538,UMTS,29.75440979,-2.110061646
539,UMTS,30.068893,-1.927495
540,UMTS,30.07576,-1.963806
541,UMTS,30.06889343,-1.954879761
542,UMTS,30.074119,-1.924036
543,UMTS,30.07026672,-1.952133179
544,UMTS,30.078506,-1.944351
545,UMTS,29.26124,-1.700876
546,UMTS,29.251784,-1.680626
547,UMTS,29.51408386,-2.490463257
548,UMTS,29.746857,-2.127228
549,UMTS,30.114684,-1.956313
550,UMTS,29.41246033,-2.046890259
551,UMTS,29.69398499,-2.007064819
552,UMTS,30.059738,-1.949387
553,UMTS,29.26124,-1.69212
554,UMTS,29.3396759,-1.699447632
555,UMTS,29.79148865,-2.241897583
556,UMTS,29.78874207,-2.197952271
557,UMTS,30.086942,-1.94252
558,UMTS,30.068893,-1.967239
559,UMTS,29.26277161,-1.693954468
560,UMTS,28.90983582,-2.479476929
561,UMTS,30.16777039,-1.968612671
562,UMTS,30.097733,-1.93222
563,UMTS,30.116615,-1.960373
564,UMTS,30.089493,-1.942863
565,UMTS,30.095673,-1.935654
566,UMTS,30.10793,-1.961545
567,UMTS,30.10734558,-1.98097229
568,UMTS,30.117816,-1.959188
569,UMTS,30.119625,-1.960619
570,UMTS,30.103226,-1.945782
571,UMTS,30.56053162,-2.020797729
572,UMTS,30.15815735,-1.963119507
573,UMTS,30.112381,-1.960373
574,UMTS,30.3339386,-1.281967163
575,UMTS,30.32844543,-1.294326782
576,UMTS,30.12413,-1.958618
577,UMTS,30.20347595,-1.983718872
578,UMTS,30.107803,-1.96907
579,UMTS,30.101395,-1.945267
580,UMTS,30.177383,-1.965866
581,UMTS,30.16777039,-1.978225708
582,UMTS,30.26252747,-1.946640015
583,UMTS,30.18836975,-1.974105835
584,UMTS,30.123984,-1.955547
585,UMTS,30.096359,-1.924942
586,UMTS,30.10734558,-1.969985962
587,UMTS,30.1499176,-1.96723938
588,UMTS,30.121431,-1.951975
589,UMTS,30.137675,-1.954272
590,UMTS,30.12382507,-1.946640015
591,UMTS,30.07850647,-1.934280396
592,UMTS,30.18424988,-1.979598999
593,UMTS,30.138898,-1.958226
594,UMTS,30.10047913,-1.989212036
595,UMTS,30.106316,-1.964493
596,UMTS,30.07987976,-1.935653687
597,UMTS,30.09773254,-1.968612671
